timestamp,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,package_power,core_power,uncore_power,dram_power,node_type,packge_ratio_package
1699527062,0.0,0.0,0.0,0.0,76.4223333333357,0.0,0.0,48.74966666666538,1,1.0
1699527065,0.0,0.0,0.0,0.0,78.65233333333163,0.0,0.0,48.54166666666666,1,1.0
1699527068,0.0,0.0,0.0,0.0,74.51633333333302,0.0,0.0,49.30966666666791,1,1.0
1699527071,0.0,0.0,0.0,0.0,73.8156666666667,0.0,0.0,48.125,1,1.0
1699527074,67070.0,0.0,0.0,67070.0,68.71366666666775,0.0,0.0,48.6200000000002,1,1.0
1699527077,142452.0,0.0,76320.0,66132.0,51.94200000000031,0.0,0.0,48.570333333331895,1,1.0
1699527080,13638.0,0.0,13638.0,0.0,52.29366666666465,0.0,0.0,48.78066666666564,1,1.0
1699527083,0.0,0.0,0.0,0.0,51.095000000001164,0.0,0.0,48.25766666666701,1,1.0
1699527086,0.0,0.0,0.0,0.0,51.50100000000142,0.0,0.0,48.92633333333409,1,1.0
1699527089,342546.0,614400.0,82188.0,260352.0,69.76233333333464,0.0,0.0,49.20633333333293,1,1.0
1699527092,0.0,0.0,0.0,0.0,80.24533333333238,0.0,0.0,48.64633333333526,1,1.0
1699527095,0.0,0.0,0.0,0.0,79.34800000000057,0.0,0.0,48.52666666666482,1,1.0
1699527098,0.0,0.0,0.0,0.0,80.73766666666536,0.0,0.0,48.997666666664976,1,1.0
1699527101,0.0,0.0,0.0,0.0,79.97599999999754,0.0,0.0,48.45699999999973,1,1.0
1699527104,0.0,0.0,0.0,0.0,81.05633333333633,0.0,0.0,48.95566666666855,1,1.0
1699527107,0.0,0.0,0.0,0.0,82.34399999999732,0.0,0.0,48.71833333333537,1,1.0
1699527110,0.0,0.0,0.0,0.0,81.5453333333353,0.0,0.0,49.246666666663565,1,1.0
1699527113,0.0,0.0,0.0,0.0,79.02433333333222,0.0,0.0,48.13033333333442,1,1.0
1699527116,0.0,0.0,0.0,0.0,80.51633333333545,0.0,0.0,48.96666666666715,1,1.0
1699527119,63073.666666666664,0.0,34523.0,28550.666666666668,65.37633333333117,0.0,0.0,48.28433333333183,1,1.0
1699527122,164318.33333333334,0.0,1330.0,162988.33333333334,51.71866666666756,0.0,0.0,48.68299999999968,1,1.0
1699527125,1121.0,0.0,253.33333333333334,874.0,50.87133333333381,0.0,0.0,48.532666666666046,1,1.0
1699527128,0.0,0.0,0.0,0.0,51.15600000000026,0.0,0.0,48.73733333333561,1,1.0
1699527131,364831.6666666667,752298.6666666666,116242.0,248583.33333333334,55.41733333333347,0.0,0.0,51.20133333333312,1,1.0
1699527134,13534527.666666668,4777301.333333333,2997643.0,10536891.333333332,83.20299999999891,0.0,0.0,47.656000000000255,1,1.0
1699527137,0.0,0.0,0.0,0.0,96.13900000000042,0.0,0.0,48.650666666665835,1,1.0
1699527140,16800.0,57344.0,3262.0,13538.0,93.71133333333273,0.0,0.0,49.314999999999905,1,1.0
1699527143,0.0,0.0,0.0,0.0,91.48999999999796,0.0,0.0,48.431333333333896,1,1.0
1699527146,0.0,0.0,0.0,0.0,92.92566666667214,0.0,0.0,48.93066666666709,1,1.0
1699527149,0.0,0.0,0.0,0.0,92.25566666666418,0.0,0.0,48.7559999999988,1,1.0
1699527152,0.0,0.0,0.0,0.0,92.74733333333279,0.0,0.0,48.893000000001244,1,1.0
1699527155,0.0,0.0,0.0,0.0,92.07866666666814,0.0,0.0,48.687333333332695,1,1.0
1699527158,0.0,0.0,0.0,0.0,92.51499999999942,0.0,0.0,48.81566666666428,1,1.0
1699527161,0.0,0.0,0.0,0.0,92.75300000000182,0.0,0.0,49.00200000000283,1,1.0
