,timestamp,packge_ratio_package,bpf_block_irq,bpf_cpu_time_us,bpf_net_rx_irq,bpf_net_tx_irq,bpf_page_cache_hit,package_power,core_power,uncore_power,dram_power,node_type,id
0,1699526909,1.0,0.3333333333333333,3007.6666666666665,314.0,0,5.0,17.786333333320123,0.0,0.0,0.9240000000015058,1.0,all containers
1,1699526912,1.0,0.0,2189.6666666666665,483.66666666666663,0,42.0,11.630333333324714,0.0,0.0,2.226666666669196,1.0,all containers
2,1699526915,1.0,0.3333333333333333,1976.6666666666665,456.33333333333337,0,4.666666666666667,5.609666666651414,0.0,0.0,0.9906666666696253,1.0,all containers
3,1699526918,1.0,0.0,1571.3333333333333,294.6666666666667,0,0.0,2.054999999990585,0.0,0.0,1.3860000000034631,1.0,all containers
4,1699526921,1.0,0.0,1386.6666666666667,223.33333333333334,0,0.0,0.45533333331938053,0.0,0.0,0.49866666666640214,1.0,all containers
5,1699526924,1.0,0.0,1397.0,235.33333333333334,0,7.0,1.73199999999148,0.0,0.0,1.4343333333357293,1.0,all containers
6,1699526927,1.0,1.3333333333333333,1416.0,287.0,0,2.3333333333333335,0.8946666666524905,0.0,0.0,0.653666666670091,1.0,all containers
7,1699526930,1.0,0.3333333333333333,1405.3333333333335,228.0,0,0.0,1.0429999999905775,0.0,0.0,1.2446666666680244,1.0,all containers
8,1699526933,1.0,0.3333333333333333,1406.0,225.33333333333334,0,0.3333333333333333,0.5016666666560994,0.0,0.0,0.7986666666693054,1.0,all containers
9,1699526936,1.0,0.3333333333333333,1400.3333333333333,226.66666666666669,0,4.666666666666667,1.3079999999875511,0.0,0.0,1.473666666667384,1.0,all containers
10,1699526939,1.0,0.3333333333333333,1412.6666666666667,221.66666666666669,0,0.0,0.4553333333217964,0.0,0.0,0.7433333333368353,1.0,all containers
11,1699526942,1.0,0.3333333333333333,1390.3333333333335,232.33333333333334,0,2.0,1.045333333323164,0.0,0.0,1.2436666666665985,1.0,all containers
12,1699526945,1.0,1.3333333333333333,1437.3333333333335,313.33333333333337,0,7.666666666666667,1.7286666666550445,0.0,0.0,0.9886666666716408,1.0,all containers
13,1699526948,1.0,0.0,1402.3333333333333,247.33333333333334,0,2.6666666666666665,1.082333333322211,0.0,0.0,1.094666666668985,1.0,all containers
14,1699526951,1.0,0.3333333333333333,1408.0,231.33333333333331,0,2.6666666666666665,0.6116666666542443,0.0,0.0,0.6856666666693343,1.0,all containers
15,1699526954,1.0,0.3333333333333333,1399.6666666666665,220.33333333333331,0,0.3333333333333333,1.28833333332296,0.0,0.0,1.305000000000291,1.0,all containers
16,1699526957,1.0,0.0,2126.0,315.66666666666663,0,29.333333333333332,25.720666666653408,0.0,0.0,1.8550000000032085,1.0,all containers
17,1699526960,1.0,0.3333333333333333,2386.3333333333335,216.33333333333334,0,0.0,30.227666666656056,0.0,0.0,0.7966666666689051,1.0,all containers
18,1699526963,1.0,0.0,2367.333333333333,224.66666666666666,0,0.3333333333333333,31.234999999988453,0.0,0.0,0.9333333333367406,1.0,all containers
19,1699526966,1.0,0.3333333333333333,2363.0,209.66666666666666,0,4.333333333333333,34.15866666665533,0.0,0.0,1.776000000000458,1.0,all containers
20,1699526969,1.0,0.3333333333333333,2375.333333333333,223.66666666666669,0,1.6666666666666667,29.933666666654368,0.0,0.0,0.8320000000021608,1.0,all containers
21,1699526972,1.0,0.3333333333333333,2401.6666666666665,218.66666666666666,0,2.3333333333333335,31.995666666654863,0.0,0.0,1.2480000000020297,1.0,all containers
22,1699526975,1.0,0.3333333333333333,2402.333333333333,211.66666666666666,0,5.0,34.35633333332225,0.0,0.0,1.1690000000041252,1.0,all containers
23,1699526978,1.0,0.3333333333333333,2403.0,197.33333333333334,0,0.3333333333333333,30.79099999998774,0.0,0.0,1.1773333333330882,1.0,all containers
24,1699526981,1.0,0.3333333333333333,2363.666666666667,193.0,0,0.0,30.016666666655503,0.0,0.0,0.9520000000023572,1.0,all containers
25,1699526984,1.0,0.3333333333333333,2511.666666666667,189.0,0,0.6666666666666666,34.85633333332225,0.0,0.0,1.4286666666691232,1.0,all containers
26,1699526987,1.0,1.6666666666666667,1485.6666666666665,278.66666666666663,0,10.333333333333334,13.062666666655169,0.0,0.0,0.9343333333357293,1.0,all containers
27,1699526990,1.0,0.3333333333333333,1411.6666666666667,247.66666666666666,0,0.0,1.054666666655983,0.0,0.0,0.9993333333356418,1.0,all containers
28,1699526993,1.0,0.3333333333333333,1411.0,219.66666666666669,0,0.3333333333333333,0.6133333333200497,0.0,0.0,0.8040000000013094,1.0,all containers
29,1699526996,1.0,0.3333333333333333,1390.0,231.66666666666669,0,4.333333333333333,1.466999999992062,0.0,0.0,1.4850000000030263,1.0,all containers
30,1699526999,1.0,0.3333333333333333,1452.6666666666667,290.3333333333333,0,23.333333333333332,2.7563333333188567,0.0,0.0,0.8613333333366242,1.0,all containers
31,1699527002,1.0,0.6666666666666666,3309.6666666666665,235.0,0,1.0,37.876666666658515,0.0,0.0,1.250000000000007,1.0,all containers
32,1699527005,1.0,0.0,3317.666666666667,212.33333333333334,0,0.6666666666666666,37.591999999984786,0.0,0.0,0.8886666666706731,1.0,all containers
33,1699527008,1.0,0.3333333333333333,3321.0,212.33333333333334,0,6.0,38.66666666665696,0.0,0.0,1.8656666666672024,1.0,all containers
34,1699527011,1.0,0.3333333333333333,3292.6666666666665,216.0,0,0.3333333333333333,36.03599999998793,0.0,0.0,0.48933333333602036,1.0,all containers
