timestamp,bpf_cpu_time_us,bpf_page_cache_hit,cache_miss,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,cpu_cycles,cpu_instructions,kubelet_cpu_usage,kubelet_memory_bytes,package_power,core_power,uncore_power,dram_power,node_type,packge_ratio_package
1699526909,3007.6666666666665,5.0,2759748.3333333335,0.0,0.0,0.0,0.0,5622049984.0,4122185535.3333335,0.0,12288.0,68.14033333333161,0.0,0.0,48.57999999999932,1,1.0
1699526912,2189.6666666666665,42.0,8690588.0,350052.0,614400.0,155496.0,194556.0,4267300133.6666665,2742184637.0,0.0,0.0,61.9843333333362,0.0,0.0,49.88266666666701,1,1.0
1699526915,1976.6666666666665,4.666666666666667,5430284.666666667,0.0,0.0,0.0,0.0,3295283333.666667,2824835306.0,0.3333333333333333,5999274.666666667,55.9636666666629,0.0,0.0,48.64666666666744,1,1.0
1699526918,1571.3333333333333,0.0,2304233.0,0.0,0.0,0.0,0.0,2581464993.0,1421606717.0,3.0,24023040.0,52.409000000002074,0.0,0.0,49.04200000000128,1,1.0
1699526921,1386.6666666666667,0.0,551912.3333333334,0.0,0.0,0.0,0.0,2187180689.333333,1548545798.3333335,0.0,439637.3333333333,50.80933333333087,0.0,0.0,48.15466666666422,1,1.0
1699526924,1397.0,7.0,1005694.3333333333,66636.0,0.0,3684.0,62952.0,2521024698.0,1153852648.3333335,0.0,2730.6666666666665,52.08600000000297,0.0,0.0,49.09033333333355,1,1.0
1699526927,1416.0,2.3333333333333335,1365427.0,160488.0,0.0,41262.0,119226.0,2279884358.6666665,984838580.6666666,0.6666666666666666,28672.000000000004,51.24866666666398,0.0,0.0,48.30966666666791,1,1.0
1699526930,1405.3333333333335,0.0,657747.0,0.0,0.0,0.0,0.0,1981005335.3333333,1585526577.6666667,0.0,637610.6666666667,51.397000000002066,0.0,0.0,48.90066666666584,1,1.0
1699526933,1406.0,0.3333333333333333,774978.3333333334,0.0,0.0,0.0,0.0,1940743167.6666665,1104626841.0,0.0,1365.3333333333333,50.85566666666759,0.0,0.0,48.45466666666712,1,1.0
1699526936,1400.3333333333333,4.666666666666667,840237.3333333333,0.0,0.0,0.0,0.0,2408161057.0,1283323360.6666665,0.3333333333333333,324949.3333333333,51.66199999999904,0.0,0.0,49.1296666666652,1,1.0
1699526939,1412.6666666666667,0.0,811876.0,0.0,0.0,0.0,0.0,2237195132.0,909845790.0,0.0,50517.333333333336,50.809333333333285,0.0,0.0,48.39933333333465,1,1.0
1699526942,1390.3333333333335,2.0,850857.3333333333,65526.0,0.0,47886.0,17640.0,1775610563.0,1310166791.6666667,0.0,131072.0,51.39933333333465,0.0,0.0,48.899666666664416,1,1.0
1699526945,1437.3333333333335,7.666666666666667,1639122.6666666665,13493672.0,3988138.6666666665,3035112.333333333,10458559.666666666,2616004135.3333335,1391524433.6666667,0.3333333333333333,468309.3333333333,52.08266666666653,0.0,0.0,48.64466666666946,1,1.0
1699526948,1402.3333333333333,2.6666666666666665,796867.0,0.0,0.0,0.0,0.0,1729280971.3333333,1231248587.0,0.0,259413.3333333333,51.4363333333337,0.0,0.0,48.7506666666668,1,1.0
1699526951,1408.0,2.6666666666666665,930695.3333333333,0.0,0.0,0.0,0.0,2340753910.333333,1205015204.3333335,0.0,5461.333333333333,50.96566666666573,0.0,0.0,48.34166666666715,1,1.0
1699526954,1399.6666666666665,0.3333333333333333,755847.3333333333,33269.0,139264.0,2136.3333333333335,31127.0,1925985306.3333335,1520946428.6666667,0.6666666666666666,266240.0,51.64233333333445,0.0,0.0,48.96099999999811,1,1.0
1699526957,2126.0,29.333333333333332,2913486.6666666665,13663130.333333334,4487850.666666667,3064469.3333333335,10598660.666666668,13826648099.666666,6289279866.0,1.0,2116266.6666666665,76.0746666666649,0.0,0.0,49.511000000001026,1,1.0
1699526960,2386.3333333333335,0.0,1083893.3333333335,18753.0,0.0,0.0,18753.0,23112684740.333336,11753437459.333332,1.0,0.0,80.58166666666754,0.0,0.0,48.45266666666672,1,1.0
1699526963,2367.333333333333,0.3333333333333333,812086.3333333333,0.0,0.0,0.0,0.0,21918845202.0,9544007391.666666,1.0,5461.333333333333,81.58899999999994,0.0,0.0,48.58933333333456,1,1.0
1699526966,2363.0,4.333333333333333,950149.6666666667,0.0,0.0,0.0,0.0,23777039876.0,9651018401.333334,1.6666666666666665,200704.0,84.51266666666682,0.0,0.0,49.431999999998276,1,1.0
1699526969,2375.333333333333,1.6666666666666667,908497.3333333334,0.0,0.0,0.0,0.0,23413849234.0,10921615981.666666,1.3333333333333333,17749.333333333332,80.28766666666586,0.0,0.0,48.48799999999998,1,1.0
1699526972,2401.6666666666665,2.3333333333333335,1054628.6666666667,0.0,0.0,0.0,0.0,22910638154.666668,9778788066.333334,1.0,0.0,82.34966666666635,0.0,0.0,48.90399999999985,1,1.0
1699526975,2402.333333333333,5.0,1181492.3333333333,0.0,0.0,0.0,0.0,23215863166.0,8451364218.666666,1.3333333333333333,84650.66666666667,84.71033333333374,0.0,0.0,48.82500000000194,1,1.0
1699526978,2403.0,0.3333333333333333,1000044.6666666666,0.0,0.0,0.0,0.0,21631501246.666668,11268472932.333334,0.0,8192.0,81.14499999999923,0.0,0.0,48.833333333330906,1,1.0
1699526981,2363.666666666667,0.0,709293.0,0.0,0.0,0.0,0.0,22019411469.666668,9969884115.0,0.0,34133.333333333336,80.37066666666699,0.0,0.0,48.608000000000175,1,1.0
