timestamp,kubelet_cpu_usage,kubelet_memory_bytes,platform_power,node_type
1699526909,0.0,12288.0,224.0,1
1699526912,0.0,0.0,216.0,1
1699526915,0.3333333333333333,5999274.666666667,210.0,1
1699526918,3.0,24023040.0,204.0,1
1699526921,0.0,439637.3333333333,205.0,1
1699526924,0.0,2730.6666666666665,201.0,1
1699526927,0.6666666666666666,28672.000000000004,205.0,1
1699526930,0.0,637610.6666666667,203.0,1
1699526933,0.0,1365.3333333333333,203.0,1
1699526936,0.3333333333333333,324949.3333333333,204.0,1
1699526939,0.0,50517.333333333336,203.0,1
1699526942,0.0,131072.0,203.0,1
1699526945,0.3333333333333333,468309.3333333333,202.0,1
1699526948,0.0,259413.3333333333,203.0,1
1699526951,0.0,5461.333333333333,202.0,1
1699526954,0.6666666666666666,266240.0,204.0,1
1699526957,1.0,2116266.6666666665,231.0,1
1699526960,1.0,0.0,235.0,1
1699526963,1.0,5461.333333333333,228.0,1
1699526966,1.6666666666666665,200704.0,244.0,1
1699526969,1.3333333333333333,17749.333333333332,235.0,1
1699526972,1.0,0.0,234.0,1
1699526975,1.3333333333333333,84650.66666666667,239.0,1
1699526978,0.0,8192.0,236.0,1
1699526981,0.0,34133.333333333336,233.0,1
1699526984,0.0,0.0,240.0,1
1699526987,0.0,6826.666666666667,221.0,1
1699526990,0.6666666666666666,148821.3333333333,205.0,1
1699526993,0.3333333333333333,465578.6666666666,201.0,1
1699526996,0.0,1365.3333333333333,202.0,1
1699526999,0.0,275797.3333333333,205.0,1
1699527002,2.3333333333333335,3376469.3333333335,244.0,1
1699527005,2.3333333333333335,15018.666666666668,244.0,1
1699527008,2.0,17749.333333333336,242.0,1
1699527011,2.0,434176.0,242.0,1
1699527014,1.6666666666666665,92842.66666666667,246.0,1
1699527017,0.0,0.0,243.0,1
1699527020,0.0,0.0,246.0,1
1699527023,0.3333333333333333,101034.66666666667,244.0,1
1699527026,0.0,1365.3333333333333,244.0,1
1699527029,0.3333333333333333,117418.66666666667,243.0,1
1699527032,0.0,180224.0,210.0,1
1699527035,0.0,0.0,203.0,1
1699527038,0.0,349525.3333333333,204.0,1
1699527041,1.0,791893.3333333334,204.0,1
1699527044,0.0,79189.33333333333,209.0,1
1699527047,4.0,326314.6666666667,224.0,1
1699527050,4.0,0.0,228.0,1
1699527053,4.0,28672.0,226.0,1
1699527056,4.333333333333334,505173.3333333333,236.0,1
1699527059,4.333333333333333,0.0,228.0,1
1699527062,1.3333333333333333,191146.66666666666,229.0,1
1699527065,0.0,1365.3333333333333,233.0,1
1699527068,0.3333333333333333,110592.0,227.0,1
