,timestamp,bpf_block_irq,bpf_net_rx_irq,bpf_net_tx_irq,cache_miss,cpu_cycles,cpu_instructions,platform_power,node_type,id
0,1699526909,0.3333333333333333,314.0,0,2759748.3333333335,5622049984.0,4122185535.3333335,23.0,1.0,all containers
1,1699526912,0.0,483.66666666666663,0,8690588.0,4267300133.6666665,2742184637.0,15.0,1.0,all containers
2,1699526915,0.3333333333333333,456.33333333333337,0,5430284.666666667,3295283333.666667,2824835306.0,9.0,1.0,all containers
3,1699526918,0.0,294.6666666666667,0,2304233.0,2581464993.0,1421606717.0,3.0,1.0,all containers
4,1699526921,0.0,223.33333333333334,0,551912.3333333334,2187180689.333333,1548545798.3333335,4.0,1.0,all containers
5,1699526924,0.0,235.33333333333334,0,1005694.3333333333,2521024698.0,1153852648.3333335,0.0,1.0,all containers
6,1699526927,1.3333333333333333,287.0,0,1365427.0,2279884358.6666665,984838580.6666666,4.0,1.0,all containers
7,1699526930,0.3333333333333333,228.0,0,657747.0,1981005335.3333333,1585526577.6666667,2.0,1.0,all containers
8,1699526933,0.3333333333333333,225.33333333333334,0,774978.3333333334,1940743167.6666665,1104626841.0,2.0,1.0,all containers
9,1699526936,0.3333333333333333,226.66666666666669,0,840237.3333333333,2408161057.0,1283323360.6666665,3.0,1.0,all containers
10,1699526939,0.3333333333333333,221.66666666666669,0,811876.0,2237195132.0,909845790.0,2.0,1.0,all containers
11,1699526942,0.3333333333333333,232.33333333333334,0,850857.3333333333,1775610563.0,1310166791.6666667,2.0,1.0,all containers
12,1699526945,1.3333333333333333,313.33333333333337,0,1639122.6666666665,2616004135.3333335,1391524433.6666667,1.0,1.0,all containers
13,1699526948,0.0,247.33333333333334,0,796867.0,1729280971.3333333,1231248587.0,2.0,1.0,all containers
14,1699526951,0.3333333333333333,231.33333333333331,0,930695.3333333333,2340753910.333333,1205015204.3333335,1.0,1.0,all containers
15,1699526954,0.3333333333333333,220.33333333333331,0,755847.3333333333,1925985306.3333335,1520946428.6666667,3.0,1.0,all containers
16,1699526957,0.0,315.66666666666663,0,2913486.6666666665,13826648099.666666,6289279866.0,30.0,1.0,all containers
17,1699526960,0.3333333333333333,216.33333333333334,0,1083893.3333333335,23112684740.333336,11753437459.333332,34.0,1.0,all containers
18,1699526963,0.0,224.66666666666666,0,812086.3333333333,21918845202.0,9544007391.666666,27.0,1.0,all containers
19,1699526966,0.3333333333333333,209.66666666666666,0,950149.6666666667,23777039876.0,9651018401.333334,43.0,1.0,all containers
20,1699526969,0.3333333333333333,223.66666666666669,0,908497.3333333334,23413849234.0,10921615981.666666,34.0,1.0,all containers
21,1699526972,0.3333333333333333,218.66666666666666,0,1054628.6666666667,22910638154.666668,9778788066.333334,33.0,1.0,all containers
22,1699526975,0.3333333333333333,211.66666666666666,0,1181492.3333333333,23215863166.0,8451364218.666666,38.0,1.0,all containers
23,1699526978,0.3333333333333333,197.33333333333334,0,1000044.6666666666,21631501246.666668,11268472932.333334,35.0,1.0,all containers
24,1699526981,0.3333333333333333,193.0,0,709293.0,22019411469.666668,9969884115.0,32.0,1.0,all containers
25,1699526984,0.3333333333333333,189.0,0,1872018.3333333335,22780810890.666668,9167947930.666668,39.0,1.0,all containers
26,1699526987,1.6666666666666667,278.66666666666663,0,1831701.3333333335,11715875782.0,4626637771.333334,20.0,1.0,all containers
27,1699526990,0.3333333333333333,247.66666666666666,0,1016432.6666666667,2095661591.3333333,1165369011.6666667,4.0,1.0,all containers
28,1699526993,0.3333333333333333,219.66666666666669,0,663764.6666666667,2026682192.3333335,1475684378.0,0.0,1.0,all containers
29,1699526996,0.3333333333333333,231.66666666666669,0,858942.0,2213664864.6666665,1077685743.6666667,1.0,1.0,all containers
30,1699526999,0.3333333333333333,290.3333333333333,0,2161889.0,2207808430.3333335,1929756946.3333335,4.0,1.0,all containers
31,1699527002,0.6666666666666666,235.0,0,1188183.3333333333,23865151828.666668,12465384816.333334,43.0,1.0,all containers
32,1699527005,0.0,212.33333333333334,0,946230.6666666667,24925827475.0,11479794838.666668,43.0,1.0,all containers
33,1699527008,0.3333333333333333,212.33333333333334,0,1011311.6666666666,24945998885.666664,12872695110.0,41.0,1.0,all containers
34,1699527011,0.3333333333333333,216.0,0,877098.0,24491671310.333336,12778939786.333334,41.0,1.0,all containers
35,1699527014,0.3333333333333333,194.33333333333334,0,838555.0,24381251558.666668,10915866019.333332,45.0,1.0,all containers
36,1699527017,0.3333333333333333,232.0,0,1518048.3333333335,25372687854.0,12539014373.666668,42.0,1.0,all containers
37,1699527020,0.3333333333333333,215.0,0,953987.0,25662837932.333336,13256717915.666666,45.0,1.0,all containers
38,1699527023,0.0,210.0,0,863789.6666666666,26804827545.666664,10903990021.666668,43.0,1.0,all containers
39,1699527026,0.0,201.33333333333334,0,812167.0,25556784931.333332,12822289804.333334,43.0,1.0,all containers
40,1699527029,0.3333333333333333,215.0,0,1184651.3333333333,23951273847.666668,13049044016.666666,42.0,1.0,all containers
41,1699527032,1.3333333333333333,290.66666666666663,0,1627718.3333333333,3982100253.666667,1972753332.7037036,9.0,1.0,all containers
42,1699527035,0.3333333333333333,241.66666666666669,0,1055723.3333333333,2103357210.0,1166050207.0,2.0,1.0,all containers
43,1699527038,0.3333333333333333,242.66666666666666,0,1041717.6666666666,2204622657.666667,1250563401.6666667,3.0,1.0,all containers
