timestamp,bpf_cpu_time_us,bpf_page_cache_hit,cache_miss,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,cpu_cycles,cpu_instructions,kubelet_cpu_usage,kubelet_memory_bytes,platform_power,node_type
1699526909,3007.6666666666665,5.0,2759748.3333333335,0.0,0.0,0.0,0.0,5622049984.0,4122185535.3333335,0.0,12288.0,224.0,1
1699526912,2189.6666666666665,42.0,8690588.0,350052.0,614400.0,155496.0,194556.0,4267300133.6666665,2742184637.0,0.0,0.0,216.0,1
1699526915,1976.6666666666665,4.666666666666667,5430284.666666667,0.0,0.0,0.0,0.0,3295283333.666667,2824835306.0,0.3333333333333333,5999274.666666667,210.0,1
1699526918,1571.3333333333333,0.0,2304233.0,0.0,0.0,0.0,0.0,2581464993.0,1421606717.0,3.0,24023040.0,204.0,1
1699526921,1386.6666666666667,0.0,551912.3333333334,0.0,0.0,0.0,0.0,2187180689.333333,1548545798.3333335,0.0,439637.3333333333,205.0,1
1699526924,1397.0,7.0,1005694.3333333333,66636.0,0.0,3684.0,62952.0,2521024698.0,1153852648.3333335,0.0,2730.6666666666665,201.0,1
1699526927,1416.0,2.3333333333333335,1365427.0,160488.0,0.0,41262.0,119226.0,2279884358.6666665,984838580.6666666,0.6666666666666666,28672.000000000004,205.0,1
1699526930,1405.3333333333335,0.0,657747.0,0.0,0.0,0.0,0.0,1981005335.3333333,1585526577.6666667,0.0,637610.6666666667,203.0,1
1699526933,1406.0,0.3333333333333333,774978.3333333334,0.0,0.0,0.0,0.0,1940743167.6666665,1104626841.0,0.0,1365.3333333333333,203.0,1
1699526936,1400.3333333333333,4.666666666666667,840237.3333333333,0.0,0.0,0.0,0.0,2408161057.0,1283323360.6666665,0.3333333333333333,324949.3333333333,204.0,1
1699526939,1412.6666666666667,0.0,811876.0,0.0,0.0,0.0,0.0,2237195132.0,909845790.0,0.0,50517.333333333336,203.0,1
1699526942,1390.3333333333335,2.0,850857.3333333333,65526.0,0.0,47886.0,17640.0,1775610563.0,1310166791.6666667,0.0,131072.0,203.0,1
1699526945,1437.3333333333335,7.666666666666667,1639122.6666666665,13493672.0,3988138.6666666665,3035112.333333333,10458559.666666666,2616004135.3333335,1391524433.6666667,0.3333333333333333,468309.3333333333,202.0,1
1699526948,1402.3333333333333,2.6666666666666665,796867.0,0.0,0.0,0.0,0.0,1729280971.3333333,1231248587.0,0.0,259413.3333333333,203.0,1
1699526951,1408.0,2.6666666666666665,930695.3333333333,0.0,0.0,0.0,0.0,2340753910.333333,1205015204.3333335,0.0,5461.333333333333,202.0,1
1699526954,1399.6666666666665,0.3333333333333333,755847.3333333333,33269.0,139264.0,2136.3333333333335,31127.0,1925985306.3333335,1520946428.6666667,0.6666666666666666,266240.0,204.0,1
1699526957,2126.0,29.333333333333332,2913486.6666666665,13663130.333333334,4487850.666666667,3064469.3333333335,10598660.666666668,13826648099.666666,6289279866.0,1.0,2116266.6666666665,231.0,1
1699526960,2386.3333333333335,0.0,1083893.3333333335,18753.0,0.0,0.0,18753.0,23112684740.333336,11753437459.333332,1.0,0.0,235.0,1
1699526963,2367.333333333333,0.3333333333333333,812086.3333333333,0.0,0.0,0.0,0.0,21918845202.0,9544007391.666666,1.0,5461.333333333333,228.0,1
1699526966,2363.0,4.333333333333333,950149.6666666667,0.0,0.0,0.0,0.0,23777039876.0,9651018401.333334,1.6666666666666665,200704.0,244.0,1
1699526969,2375.333333333333,1.6666666666666667,908497.3333333334,0.0,0.0,0.0,0.0,23413849234.0,10921615981.666666,1.3333333333333333,17749.333333333332,235.0,1
1699526972,2401.6666666666665,2.3333333333333335,1054628.6666666667,0.0,0.0,0.0,0.0,22910638154.666668,9778788066.333334,1.0,0.0,234.0,1
1699526975,2402.333333333333,5.0,1181492.3333333333,0.0,0.0,0.0,0.0,23215863166.0,8451364218.666666,1.3333333333333333,84650.66666666667,239.0,1
1699526978,2403.0,0.3333333333333333,1000044.6666666666,0.0,0.0,0.0,0.0,21631501246.666668,11268472932.333334,0.0,8192.0,236.0,1
1699526981,2363.666666666667,0.0,709293.0,0.0,0.0,0.0,0.0,22019411469.666668,9969884115.0,0.0,34133.333333333336,233.0,1
1699526984,2511.666666666667,0.6666666666666666,1872018.3333333335,0.0,0.0,0.0,0.0,22780810890.666668,9167947930.666668,0.0,0.0,240.0,1
1699526987,1485.6666666666665,10.333333333333334,1831701.3333333335,206124.0,172032.0,0.0,206130.0,11715875782.0,4626637771.333334,0.0,6826.666666666667,221.0,1
1699526990,1411.6666666666667,0.0,1016432.6666666667,8724.0,172032.0,1698.0,7026.0,2095661591.3333333,1165369011.6666667,0.6666666666666666,148821.3333333333,205.0,1
1699526993,1411.0,0.3333333333333333,663764.6666666667,0.0,0.0,0.0,0.0,2026682192.3333335,1475684378.0,0.3333333333333333,465578.6666666666,201.0,1
1699526996,1390.0,4.333333333333333,858942.0,0.0,0.0,0.0,0.0,2213664864.6666665,1077685743.6666667,0.0,1365.3333333333333,202.0,1
1699526999,1452.6666666666667,23.333333333333332,2161889.0,385716.0,638976.0,127362.0,258348.0,2207808430.3333335,1929756946.3333335,0.0,275797.3333333333,205.0,1
1699527002,3309.6666666666665,1.0,1188183.3333333333,0.0,0.0,0.0,0.0,23865151828.666668,12465384816.333334,2.3333333333333335,3376469.3333333335,244.0,1
1699527005,3317.666666666667,0.6666666666666666,946230.6666666667,0.0,0.0,0.0,0.0,24925827475.0,11479794838.666668,2.3333333333333335,15018.666666666668,244.0,1
