,timestamp,packge_ratio_package,bpf_cpu_time_us,bpf_page_cache_hit,cache_miss,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,cpu_cycles,cpu_instructions,kubelet_cpu_usage,kubelet_memory_bytes,package_power,core_power,uncore_power,dram_power,node_type,id
0,1699526909,1.0,3007.6666666666665,5.0,2759748.3333333335,0.0,0.0,0.0,0.0,5622049984.0,4122185535.3333335,0.0,12288.0,17.786333333320123,0.0,0.0,0.9240000000015058,1.0,all containers
1,1699526912,1.0,2189.6666666666665,42.0,8690588.0,350052.0,614400.0,155496.0,194556.0,4267300133.6666665,2742184637.0,0.0,0.0,11.630333333324714,0.0,0.0,2.226666666669196,1.0,all containers
2,1699526915,1.0,1976.6666666666665,4.666666666666667,5430284.666666667,0.0,0.0,0.0,0.0,3295283333.666667,2824835306.0,0.3333333333333333,5999274.666666667,5.609666666651414,0.0,0.0,0.9906666666696253,1.0,all containers
3,1699526918,1.0,1571.3333333333333,0.0,2304233.0,0.0,0.0,0.0,0.0,2581464993.0,1421606717.0,3.0,24023040.0,2.054999999990585,0.0,0.0,1.3860000000034631,1.0,all containers
4,1699526921,1.0,1386.6666666666667,0.0,551912.3333333334,0.0,0.0,0.0,0.0,2187180689.333333,1548545798.3333335,0.0,439637.3333333333,0.45533333331938053,0.0,0.0,0.49866666666640214,1.0,all containers
5,1699526924,1.0,1397.0,7.0,1005694.3333333333,66636.0,0.0,3684.0,62952.0,2521024698.0,1153852648.3333335,0.0,2730.6666666666665,1.73199999999148,0.0,0.0,1.4343333333357293,1.0,all containers
6,1699526927,1.0,1416.0,2.3333333333333335,1365427.0,160488.0,0.0,41262.0,119226.0,2279884358.6666665,984838580.6666666,0.6666666666666666,28672.000000000004,0.8946666666524905,0.0,0.0,0.653666666670091,1.0,all containers
7,1699526930,1.0,1405.3333333333335,0.0,657747.0,0.0,0.0,0.0,0.0,1981005335.3333333,1585526577.6666667,0.0,637610.6666666667,1.0429999999905775,0.0,0.0,1.2446666666680244,1.0,all containers
8,1699526933,1.0,1406.0,0.3333333333333333,774978.3333333334,0.0,0.0,0.0,0.0,1940743167.6666665,1104626841.0,0.0,1365.3333333333333,0.5016666666560994,0.0,0.0,0.7986666666693054,1.0,all containers
9,1699526936,1.0,1400.3333333333333,4.666666666666667,840237.3333333333,0.0,0.0,0.0,0.0,2408161057.0,1283323360.6666665,0.3333333333333333,324949.3333333333,1.3079999999875511,0.0,0.0,1.473666666667384,1.0,all containers
10,1699526939,1.0,1412.6666666666667,0.0,811876.0,0.0,0.0,0.0,0.0,2237195132.0,909845790.0,0.0,50517.333333333336,0.4553333333217964,0.0,0.0,0.7433333333368353,1.0,all containers
11,1699526942,1.0,1390.3333333333335,2.0,850857.3333333333,65526.0,0.0,47886.0,17640.0,1775610563.0,1310166791.6666667,0.0,131072.0,1.045333333323164,0.0,0.0,1.2436666666665985,1.0,all containers
12,1699526945,1.0,1437.3333333333335,7.666666666666667,1639122.6666666665,13493672.0,3988138.6666666665,3035112.333333333,10458559.666666666,2616004135.3333335,1391524433.6666667,0.3333333333333333,468309.3333333333,1.7286666666550445,0.0,0.0,0.9886666666716408,1.0,all containers
13,1699526948,1.0,1402.3333333333333,2.6666666666666665,796867.0,0.0,0.0,0.0,0.0,1729280971.3333333,1231248587.0,0.0,259413.3333333333,1.082333333322211,0.0,0.0,1.094666666668985,1.0,all containers
14,1699526951,1.0,1408.0,2.6666666666666665,930695.3333333333,0.0,0.0,0.0,0.0,2340753910.333333,1205015204.3333335,0.0,5461.333333333333,0.6116666666542443,0.0,0.0,0.6856666666693343,1.0,all containers
15,1699526954,1.0,1399.6666666666665,0.3333333333333333,755847.3333333333,33269.0,139264.0,2136.3333333333335,31127.0,1925985306.3333335,1520946428.6666667,0.6666666666666666,266240.0,1.28833333332296,0.0,0.0,1.305000000000291,1.0,all containers
16,1699526957,1.0,2126.0,29.333333333333332,2913486.6666666665,13663130.333333334,4487850.666666667,3064469.3333333335,10598660.666666668,13826648099.666666,6289279866.0,1.0,2116266.6666666665,25.720666666653408,0.0,0.0,1.8550000000032085,1.0,all containers
17,1699526960,1.0,2386.3333333333335,0.0,1083893.3333333335,18753.0,0.0,0.0,18753.0,23112684740.333336,11753437459.333332,1.0,0.0,30.227666666656056,0.0,0.0,0.7966666666689051,1.0,all containers
18,1699526963,1.0,2367.333333333333,0.3333333333333333,812086.3333333333,0.0,0.0,0.0,0.0,21918845202.0,9544007391.666666,1.0,5461.333333333333,31.234999999988453,0.0,0.0,0.9333333333367406,1.0,all containers
19,1699526966,1.0,2363.0,4.333333333333333,950149.6666666667,0.0,0.0,0.0,0.0,23777039876.0,9651018401.333334,1.6666666666666665,200704.0,34.15866666665533,0.0,0.0,1.776000000000458,1.0,all containers
20,1699526969,1.0,2375.333333333333,1.6666666666666667,908497.3333333334,0.0,0.0,0.0,0.0,23413849234.0,10921615981.666666,1.3333333333333333,17749.333333333332,29.933666666654368,0.0,0.0,0.8320000000021608,1.0,all containers
21,1699526972,1.0,2401.6666666666665,2.3333333333333335,1054628.6666666667,0.0,0.0,0.0,0.0,22910638154.666668,9778788066.333334,1.0,0.0,31.995666666654863,0.0,0.0,1.2480000000020297,1.0,all containers
22,1699526975,1.0,2402.333333333333,5.0,1181492.3333333333,0.0,0.0,0.0,0.0,23215863166.0,8451364218.666666,1.3333333333333333,84650.66666666667,34.35633333332225,0.0,0.0,1.1690000000041252,1.0,all containers
