timestamp,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,platform_power,node_type
1699526909,0.0,0.0,0.0,0.0,224.0,1
1699526912,350052.0,614400.0,155496.0,194556.0,216.0,1
1699526915,0.0,0.0,0.0,0.0,210.0,1
1699526918,0.0,0.0,0.0,0.0,204.0,1
1699526921,0.0,0.0,0.0,0.0,205.0,1
1699526924,66636.0,0.0,3684.0,62952.0,201.0,1
1699526927,160488.0,0.0,41262.0,119226.0,205.0,1
1699526930,0.0,0.0,0.0,0.0,203.0,1
1699526933,0.0,0.0,0.0,0.0,203.0,1
1699526936,0.0,0.0,0.0,0.0,204.0,1
1699526939,0.0,0.0,0.0,0.0,203.0,1
1699526942,65526.0,0.0,47886.0,17640.0,203.0,1
1699526945,13493672.0,3988138.6666666665,3035112.333333333,10458559.666666666,202.0,1
1699526948,0.0,0.0,0.0,0.0,203.0,1
1699526951,0.0,0.0,0.0,0.0,202.0,1
1699526954,33269.0,139264.0,2136.3333333333335,31127.0,204.0,1
1699526957,13663130.333333334,4487850.666666667,3064469.3333333335,10598660.666666668,231.0,1
1699526960,18753.0,0.0,0.0,18753.0,235.0,1
1699526963,0.0,0.0,0.0,0.0,228.0,1
1699526966,0.0,0.0,0.0,0.0,244.0,1
1699526969,0.0,0.0,0.0,0.0,235.0,1
1699526972,0.0,0.0,0.0,0.0,234.0,1
1699526975,0.0,0.0,0.0,0.0,239.0,1
1699526978,0.0,0.0,0.0,0.0,236.0,1
1699526981,0.0,0.0,0.0,0.0,233.0,1
1699526984,0.0,0.0,0.0,0.0,240.0,1
1699526987,206124.0,172032.0,0.0,206130.0,221.0,1
1699526990,8724.0,172032.0,1698.0,7026.0,205.0,1
1699526993,0.0,0.0,0.0,0.0,201.0,1
1699526996,0.0,0.0,0.0,0.0,202.0,1
1699526999,385716.0,638976.0,127362.0,258348.0,205.0,1
1699527002,0.0,0.0,0.0,0.0,244.0,1
1699527005,0.0,0.0,0.0,0.0,244.0,1
1699527008,0.0,0.0,0.0,0.0,242.0,1
1699527011,0.0,0.0,0.0,0.0,242.0,1
1699527014,0.0,0.0,0.0,0.0,246.0,1
1699527017,0.0,0.0,0.0,0.0,243.0,1
1699527020,17088.0,0.0,0.0,17088.0,246.0,1
1699527023,0.0,0.0,0.0,0.0,244.0,1
1699527026,0.0,0.0,0.0,0.0,244.0,1
1699527029,0.0,0.0,0.0,0.0,243.0,1
1699527032,194871.0,0.0,36436.66666666667,158440.0,210.0,1
1699527035,0.0,0.0,0.0,0.0,203.0,1
1699527038,0.0,0.0,0.0,0.0,204.0,1
1699527041,0.0,0.0,0.0,0.0,204.0,1
1699527044,321402.0,533845.3333333334,102872.66666666666,218529.3333333333,209.0,1
1699527047,0.0,0.0,0.0,0.0,224.0,1
1699527050,0.0,0.0,0.0,0.0,228.0,1
1699527053,0.0,0.0,0.0,0.0,226.0,1
1699527056,0.0,0.0,0.0,0.0,236.0,1
1699527059,0.0,0.0,0.0,0.0,228.0,1
1699527062,0.0,0.0,0.0,0.0,229.0,1
1699527065,0.0,0.0,0.0,0.0,233.0,1
1699527068,0.0,0.0,0.0,0.0,227.0,1
1699527071,0.0,0.0,0.0,0.0,232.0,1
1699527074,67070.0,0.0,0.0,67070.0,229.0,1
1699527077,142452.0,0.0,76320.0,66132.0,201.0,1
