,timestamp,kubelet_cpu_usage,kubelet_memory_bytes,platform_power,node_type,id
0,1699526909,0.0,12288.0,23.0,1.0,all containers
1,1699526912,0.0,0.0,15.0,1.0,all containers
2,1699526915,0.3333333333333333,5999274.666666667,9.0,1.0,all containers
3,1699526918,3.0,24023040.0,3.0,1.0,all containers
4,1699526921,0.0,439637.3333333333,4.0,1.0,all containers
5,1699526924,0.0,2730.6666666666665,0.0,1.0,all containers
6,1699526927,0.6666666666666666,28672.000000000004,4.0,1.0,all containers
7,1699526930,0.0,637610.6666666667,2.0,1.0,all containers
8,1699526933,0.0,1365.3333333333333,2.0,1.0,all containers
9,1699526936,0.3333333333333333,324949.3333333333,3.0,1.0,all containers
10,1699526939,0.0,50517.333333333336,2.0,1.0,all containers
11,1699526942,0.0,131072.0,2.0,1.0,all containers
12,1699526945,0.3333333333333333,468309.3333333333,1.0,1.0,all containers
13,1699526948,0.0,259413.3333333333,2.0,1.0,all containers
14,1699526951,0.0,5461.333333333333,1.0,1.0,all containers
15,1699526954,0.6666666666666666,266240.0,3.0,1.0,all containers
16,1699526957,1.0,2116266.6666666665,30.0,1.0,all containers
17,1699526960,1.0,0.0,34.0,1.0,all containers
18,1699526963,1.0,5461.333333333333,27.0,1.0,all containers
19,1699526966,1.6666666666666665,200704.0,43.0,1.0,all containers
20,1699526969,1.3333333333333333,17749.333333333332,34.0,1.0,all containers
21,1699526972,1.0,0.0,33.0,1.0,all containers
22,1699526975,1.3333333333333333,84650.66666666667,38.0,1.0,all containers
23,1699526978,0.0,8192.0,35.0,1.0,all containers
24,1699526981,0.0,34133.333333333336,32.0,1.0,all containers
25,1699526984,0.0,0.0,39.0,1.0,all containers
26,1699526987,0.0,6826.666666666667,20.0,1.0,all containers
27,1699526990,0.6666666666666666,148821.3333333333,4.0,1.0,all containers
28,1699526993,0.3333333333333333,465578.6666666666,0.0,1.0,all containers
29,1699526996,0.0,1365.3333333333333,1.0,1.0,all containers
30,1699526999,0.0,275797.3333333333,4.0,1.0,all containers
31,1699527002,2.3333333333333335,3376469.3333333335,43.0,1.0,all containers
32,1699527005,2.3333333333333335,15018.666666666668,43.0,1.0,all containers
33,1699527008,2.0,17749.333333333336,41.0,1.0,all containers
34,1699527011,2.0,434176.0,41.0,1.0,all containers
35,1699527014,1.6666666666666665,92842.66666666667,45.0,1.0,all containers
36,1699527017,0.0,0.0,42.0,1.0,all containers
37,1699527020,0.0,0.0,45.0,1.0,all containers
38,1699527023,0.3333333333333333,101034.66666666667,43.0,1.0,all containers
39,1699527026,0.0,1365.3333333333333,43.0,1.0,all containers
40,1699527029,0.3333333333333333,117418.66666666667,42.0,1.0,all containers
41,1699527032,0.0,180224.0,9.0,1.0,all containers
42,1699527035,0.0,0.0,2.0,1.0,all containers
43,1699527038,0.0,349525.3333333333,3.0,1.0,all containers
44,1699527041,1.0,791893.3333333334,3.0,1.0,all containers
45,1699527044,0.0,79189.33333333333,8.0,1.0,all containers
46,1699527047,4.0,326314.6666666667,23.0,1.0,all containers
47,1699527050,4.0,0.0,27.0,1.0,all containers
48,1699527053,4.0,28672.0,25.0,1.0,all containers
49,1699527056,4.333333333333334,505173.3333333333,35.0,1.0,all containers
50,1699527059,4.333333333333333,0.0,27.0,1.0,all containers
51,1699527062,1.3333333333333333,191146.66666666666,28.0,1.0,all containers
52,1699527065,0.0,1365.3333333333333,32.0,1.0,all containers
53,1699527068,0.3333333333333333,110592.0,26.0,1.0,all containers
54,1699527071,0.3333333333333333,294912.0,31.0,1.0,all containers
55,1699527074,0.0,572074.6666666666,28.0,1.0,all containers
56,1699527077,0.0,10922.666666666666,0.0,1.0,all containers
57,1699527080,0.0,50517.333333333336,5.0,1.0,all containers
58,1699527083,0.0,199338.66666666666,3.0,1.0,all containers
59,1699527086,0.6666666666666666,4096.0,1.0,1.0,all containers
60,1699527089,0.6666666666666666,2730.6666666666665,18.0,1.0,all containers
61,1699527092,8.0,202069.33333333334,36.0,1.0,all containers
62,1699527095,8.333333333333334,114688.0,33.0,1.0,all containers
63,1699527098,8.333333333333334,2730.6666666666665,33.0,1.0,all containers
64,1699527101,6.333333333333333,72362.66666666666,36.0,1.0,all containers
65,1699527104,0.0,2730.6666666666665,35.0,1.0,all containers
66,1699527107,0.6666666666666666,356352.0,36.0,1.0,all containers
67,1699527110,0.0,5461.333333333333,33.0,1.0,all containers
68,1699527113,28.333333333333332,35498.66666666667,34.0,1.0,all containers
69,1699527116,0.0,122880.0,34.0,1.0,all containers
70,1699527119,0.3333333333333333,103765.33333333333,32.0,1.0,all containers
71,1699527122,0.0,53248.0,4.0,1.0,all containers
72,1699527125,0.3333333333333333,86016.0,4.0,1.0,all containers
73,1699527128,0.0,4096.0,1.0,1.0,all containers
74,1699527131,0.0,65536.0,1.0,1.0,all containers
75,1699527134,12.0,20396714.666666668,44.0,1.0,all containers
76,1699527137,15.333333333333332,20433578.666666668,51.0,1.0,all containers
77,1699527140,15.333333333333334,20328448.000000004,49.0,1.0,all containers
78,1699527143,15.0,20283392.0,47.0,1.0,all containers
79,1699527146,14.666666666666666,27306.666666666668,48.0,1.0,all containers
80,1699527149,15.666666666666668,4096.0,48.0,1.0,all containers
81,1699527152,3.0,1365.3333333333333,46.0,1.0,all containers
82,1699527155,0.3333333333333333,15018.666666666666,47.0,1.0,all containers
83,1699527158,0.0,17749.333333333332,48.0,1.0,all containers
84,1699527161,0.0,344064.0,49.0,1.0,all containers
85,1699527164,0.3333333333333333,39594.666666666664,22.0,1.0,all containers
86,1699527167,0.0,277162.6666666667,0.0,1.0,all containers
87,1699527170,0.0,0.0,3.0,1.0,all containers
88,1699527173,0.0,54613.333333333336,3.0,1.0,all containers
89,1699527176,0.3333333333333333,32767.999999999996,6.0,1.0,all containers
90,1699527179,25.333333333333336,31840938.666666668,55.0,1.0,all containers
91,1699527182,24.333333333333336,31869610.666666668,59.0,1.0,all containers
92,1699527185,24.0,32090794.666666668,56.0,1.0,all containers
93,1699527188,3.0,34133.33333333333,57.0,1.0,all containers
94,1699527191,0.0,23210.666666666668,58.0,1.0,all containers
95,1699527194,0.3333333333333333,9557.333333333332,59.0,1.0,all containers
96,1699527197,0.3333333333333333,55978.66666666667,57.0,1.0,all containers
97,1699527200,110.66666666666667,1365.3333333333333,58.0,1.0,all containers
98,1699527203,0.0,2730.6666666666665,58.0,1.0,all containers
99,1699527206,0.0,117418.66666666667,58.0,1.0,all containers
100,1699527209,0.3333333333333333,76458.66666666667,20.0,1.0,all containers
101,1699527212,0.3333333333333333,285354.6666666666,3.0,1.0,all containers
102,1699527215,0.0,0.0,1.0,1.0,all containers
103,1699527218,0.0,2730.6666666666665,1.0,1.0,all containers
104,1699527221,0.3333333333333333,274432.0,2.0,1.0,all containers
105,1699527224,29.333333333333332,41842005.333333336,29.0,1.0,all containers
106,1699527227,30.333333333333332,41862485.333333336,43.0,1.0,all containers
107,1699527230,30.666666666666668,5461.333333333333,44.0,1.0,all containers
108,1699527233,31.333333333333332,94208.0,46.0,1.0,all containers
109,1699527236,30.0,57344.0,46.0,1.0,all containers
110,1699527239,10.666666666666668,120149.33333333333,44.0,1.0,all containers
111,1699527242,0.6666666666666666,101034.66666666667,46.0,1.0,all containers
112,1699527245,0.3333333333333333,0.0,43.0,1.0,all containers
113,1699527248,0.3333333333333333,103765.33333333333,44.0,1.0,all containers
114,1699527251,0.0,0.0,44.0,1.0,all containers
115,1699527254,0.0,46421.33333333333,29.0,1.0,all containers
116,1699527257,0.6666666666666666,141994.66666666666,3.0,1.0,all containers
117,1699527260,0.0,15018.666666666666,1.0,1.0,all containers
118,1699527263,0.0,2730.6666666666665,2.0,1.0,all containers
119,1699527266,0.0,318122.6666666667,3.0,1.0,all containers
120,1699527269,27.0,41921194.666666664,44.0,1.0,all containers
121,1699527272,30.666666666666668,41910272.0,49.0,1.0,all containers
122,1699527275,31.333333333333332,41908906.666666664,45.0,1.0,all containers
123,1699527278,30.333333333333332,126976.00000000001,44.0,1.0,all containers
124,1699527281,15.333333333333334,46421.333333333336,46.0,1.0,all containers
125,1699527284,0.9999999999999999,795989.3333333334,44.0,1.0,all containers
126,1699527287,0.0,0.0,45.0,1.0,all containers
127,1699527290,0.0,60074.666666666664,43.0,1.0,all containers
128,1699527293,0.3333333333333333,51882.66666666667,44.0,1.0,all containers
129,1699527296,151.0,46421.333333333336,44.0,1.0,all containers
130,1699527299,0.0,0.0,4.0,1.0,all containers
131,1699527302,0.0,21845.333333333332,2.0,1.0,all containers
132,1699527305,0.0,99669.33333333334,2.0,1.0,all containers
133,1699527308,0.6666666666666666,4096.0,2.0,1.0,all containers
134,1699527311,0.3333333333333333,131072.0,2.0,1.0,all containers
135,1699527314,3.3333333333333335,6262784.0,16.0,1.0,all containers
136,1699527317,4.666666666666666,401408.0,39.0,1.0,all containers
137,1699527320,4.0,106496.0,38.0,1.0,all containers
138,1699527323,3.6666666666666665,0.0,38.0,1.0,all containers
139,1699527326,0.3333333333333333,2730.6666666666665,36.0,1.0,all containers
140,1699527329,0.0,15018.666666666666,37.0,1.0,all containers
141,1699527332,0.0,101034.66666666666,37.0,1.0,all containers
142,1699527335,0.3333333333333333,693589.3333333334,38.0,1.0,all containers
143,1699527338,0.3333333333333333,9557.333333333334,41.0,1.0,all containers
144,1699527341,22.333333333333332,58709.33333333333,39.0,1.0,all containers
145,1699527344,0.0,0.0,0.0,1.0,all containers
146,1699527347,0.0,0.0,2.0,1.0,all containers
147,1699527350,0.3333333333333333,141994.66666666666,0.0,1.0,all containers
148,1699527353,0.3333333333333333,140629.33333333334,1.0,1.0,all containers
149,1699527356,0.0,299008.0,7.0,1.0,all containers
150,1699527359,8.0,69632.0,55.0,1.0,all containers
151,1699527362,8.333333333333334,402773.3333333333,54.0,1.0,all containers
152,1699527365,8.0,8192.0,54.0,1.0,all containers
153,1699527368,8.0,118784.0,54.0,1.0,all containers
154,1699527371,8.333333333333334,86016.0,53.0,1.0,all containers
155,1699527374,0.0,131072.0,56.0,1.0,all containers
156,1699527377,0.0,6826.666666666667,58.0,1.0,all containers
157,1699527380,0.3333333333333333,0.0,56.0,1.0,all containers
158,1699527383,27.333333333333336,87381.33333333333,56.0,1.0,all containers
159,1699527386,0.0,12288.0,54.0,1.0,all containers
160,1699527389,0.0,6826.666666666667,3.0,1.0,all containers
161,1699527392,0.0,0.0,2.0,1.0,all containers
162,1699527395,0.0,385024.0,2.0,1.0,all containers
