,timestamp,bpf_cpu_time_us,bpf_page_cache_hit,platform_power,node_type,id
82,1699527155,15501.333333333332,1.6666666666666667,47.0,1.0,all containers
83,1699527158,15443.666666666666,0.0,48.0,1.0,all containers
84,1699527161,15491.333333333332,5.0,49.0,1.0,all containers
85,1699527164,1411.6666666666665,6.333333333333333,22.0,1.0,all containers
86,1699527167,1392.6666666666667,1.0,0.0,1.0,all containers
87,1699527170,1397.0,5.666666666666667,3.0,1.0,all containers
88,1699527173,1412.3333333333335,1.6666666666666667,3.0,1.0,all containers
89,1699527176,1503.6666666666665,25.0,6.0,1.0,all containers
90,1699527179,23418.0,1.0,55.0,1.0,all containers
91,1699527182,23782.333333333332,6.0,59.0,1.0,all containers
92,1699527185,23832.333333333332,2.0,56.0,1.0,all containers
93,1699527188,23812.666666666668,0.0,57.0,1.0,all containers
94,1699527191,23828.333333333332,5.666666666666667,58.0,1.0,all containers
95,1699527194,23797.0,1.6666666666666667,59.0,1.0,all containers
96,1699527197,23828.0,1.3333333333333333,57.0,1.0,all containers
97,1699527200,23802.0,0.0,58.0,1.0,all containers
98,1699527203,23827.666666666664,5.666666666666667,58.0,1.0,all containers
99,1699527206,23616.666666666664,10.0,58.0,1.0,all containers
100,1699527209,1383.3333333333335,5.0,20.0,1.0,all containers
101,1699527212,1443.0,7.333333333333333,3.0,1.0,all containers
102,1699527215,1403.0,1.3333333333333333,1.0,1.0,all containers
103,1699527218,1382.3333333333335,0.6666666666666666,1.0,1.0,all containers
104,1699527221,1449.0,28.666666666666668,2.0,1.0,all containers
105,1699527224,26240.0,0.6666666666666666,29.0,1.0,all containers
106,1699527227,28471.0,0.6666666666666666,43.0,1.0,all containers
107,1699527230,28578.666666666668,1.0,44.0,1.0,all containers
108,1699527233,28532.666666666664,5.0,46.0,1.0,all containers
109,1699527236,28612.333333333336,0.3333333333333333,46.0,1.0,all containers
110,1699527239,28525.0,1.0,44.0,1.0,all containers
111,1699527242,28625.666666666668,4.666666666666667,46.0,1.0,all containers
112,1699527245,28610.0,1.3333333333333333,43.0,1.0,all containers
113,1699527248,28802.333333333336,0.3333333333333333,44.0,1.0,all containers
114,1699527251,28509.333333333332,1.0,44.0,1.0,all containers
115,1699527254,1423.6666666666665,10.0,29.0,1.0,all containers
116,1699527257,1430.6666666666667,1.0,3.0,1.0,all containers
117,1699527260,1401.6666666666667,1.0,1.0,1.0,all containers
118,1699527263,1425.6666666666667,6.0,2.0,1.0,all containers
119,1699527266,1446.0,25.0,3.0,1.0,all containers
120,1699527269,24347.666666666668,6.333333333333333,44.0,1.0,all containers
121,1699527272,28572.333333333336,3.0,49.0,1.0,all containers
122,1699527275,28484.666666666668,4.666666666666667,45.0,1.0,all containers
123,1699527278,28627.333333333332,0.3333333333333333,44.0,1.0,all containers
124,1699527281,28563.0,0.0,46.0,1.0,all containers
125,1699527284,28644.333333333336,5.0,44.0,1.0,all containers
126,1699527287,28662.0,0.3333333333333333,45.0,1.0,all containers
127,1699527290,28626.333333333332,0.3333333333333333,43.0,1.0,all containers
128,1699527293,28471.666666666668,0.6666666666666666,44.0,1.0,all containers
129,1699527296,28643.0,4.666666666666667,44.0,1.0,all containers
130,1699527299,1396.6666666666667,5.333333333333333,4.0,1.0,all containers
131,1699527302,1420.3333333333333,0.3333333333333333,2.0,1.0,all containers
132,1699527305,1423.0,4.666666666666667,2.0,1.0,all containers
133,1699527308,1407.3333333333333,1.0,2.0,1.0,all containers
134,1699527311,1475.0,24.666666666666668,2.0,1.0,all containers
135,1699527314,4699.666666666667,1.0,16.0,1.0,all containers
136,1699527317,5251.666666666667,7.0,39.0,1.0,all containers
137,1699527320,5200.666666666667,0.3333333333333333,38.0,1.0,all containers
138,1699527323,5222.333333333333,0.6666666666666666,38.0,1.0,all containers
139,1699527326,5201.666666666667,4.666666666666667,36.0,1.0,all containers
140,1699527329,5191.0,0.0,37.0,1.0,all containers
141,1699527332,5222.0,3.3333333333333335,37.0,1.0,all containers
142,1699527335,5237.0,5.0,38.0,1.0,all containers
143,1699527338,5206.0,0.3333333333333333,41.0,1.0,all containers
144,1699527341,5192.0,0.3333333333333333,39.0,1.0,all containers
145,1699527344,1429.0,5.666666666666667,0.0,1.0,all containers
146,1699527347,1422.6666666666665,6.333333333333333,2.0,1.0,all containers
147,1699527350,1402.0,0.3333333333333333,0.0,1.0,all containers
148,1699527353,1412.0,0.3333333333333333,1.0,1.0,all containers
149,1699527356,1447.0,29.666666666666668,7.0,1.0,all containers
150,1699527359,8976.333333333332,1.0,55.0,1.0,all containers
151,1699527362,8935.333333333334,1.6666666666666667,54.0,1.0,all containers
152,1699527365,8990.0,1.3333333333333333,54.0,1.0,all containers
153,1699527368,8977.666666666666,4.0,54.0,1.0,all containers
154,1699527371,8955.666666666666,0.0,53.0,1.0,all containers
155,1699527374,8979.0,1.0,56.0,1.0,all containers
156,1699527377,9166.0,5.0,58.0,1.0,all containers
157,1699527380,8983.666666666668,0.0,56.0,1.0,all containers
158,1699527383,8991.333333333332,1.3333333333333333,56.0,1.0,all containers
159,1699527386,7847.0,10.333333333333334,54.0,1.0,all containers
160,1699527389,1422.3333333333333,8.333333333333334,3.0,1.0,all containers
161,1699527392,1423.3333333333333,3.0,2.0,1.0,all containers
162,1699527395,1432.0,1.3333333333333333,2.0,1.0,all containers
163,1699527398,1406.3333333333335,4.666666666666667,1.0,1.0,all containers
164,1699527401,1436.3333333333335,24.666666666666668,18.0,1.0,all containers
165,1699527404,15575.0,0.6666666666666666,85.0,1.0,all containers
166,1699527407,15576.666666666666,5.0,86.0,1.0,all containers
167,1699527410,15575.666666666668,0.6666666666666666,87.0,1.0,all containers
168,1699527413,15581.0,1.0,88.0,1.0,all containers
169,1699527416,15561.0,1.0,81.0,1.0,all containers
170,1699527419,15601.333333333334,5.333333333333333,87.0,1.0,all containers
171,1699527422,15575.0,1.0,87.0,1.0,all containers
172,1699527425,15585.333333333332,0.6666666666666666,89.0,1.0,all containers
173,1699527428,15565.666666666668,5.333333333333333,88.0,1.0,all containers
174,1699527431,9818.333333333334,17.333333333333332,65.0,1.0,all containers
175,1699527434,1448.3333333333335,4.666666666666667,4.0,1.0,all containers
176,1699527437,1407.0,0.3333333333333333,5.0,1.0,all containers
177,1699527440,1437.0,5.0,2.0,1.0,all containers
178,1699527443,1415.0,0.6666666666666666,3.0,1.0,all containers
179,1699527446,1427.3333333333333,24.0,7.0,1.0,all containers
180,1699527449,23952.666666666668,4.333333333333333,101.0,1.0,all containers
181,1699527452,24000.0,2.3333333333333335,100.0,1.0,all containers
182,1699527455,23976.333333333332,0.6666666666666666,101.0,1.0,all containers
183,1699527458,24013.0,5.333333333333333,102.0,1.0,all containers
184,1699527461,24001.666666666664,0.3333333333333333,101.0,1.0,all containers
185,1699527464,24022.0,1.3333333333333333,102.0,1.0,all containers
186,1699527467,23992.666666666668,0.6666666666666666,98.0,1.0,all containers
187,1699527470,24018.666666666664,6.0,102.0,1.0,all containers
188,1699527473,24021.0,1.3333333333333333,94.0,1.0,all containers
189,1699527476,16354.0,27.0,95.0,1.0,all containers
190,1699527479,1537.3333333333335,7.666666666666667,1.0,1.0,all containers
191,1699527482,1391.0,0.0,2.0,1.0,all containers
192,1699527485,1414.3333333333333,0.3333333333333333,4.0,1.0,all containers
193,1699527488,1397.6666666666667,0.0,1.0,1.0,all containers
194,1699527491,1291.0,28.666666666666668,35.0,1.0,all containers
195,1699527494,28835.333333333332,0.6666666666666666,95.0,1.0,all containers
196,1699527497,28903.666666666668,1.0,97.0,1.0,all containers
197,1699527500,28668.333333333336,5.333333333333333,97.0,1.0,all containers
198,1699527503,28931.0,1.0,95.0,1.0,all containers
199,1699527506,28865.333333333332,1.0,95.0,1.0,all containers
200,1699527509,29024.333333333332,0.6666666666666666,97.0,1.0,all containers
201,1699527512,28853.666666666664,7.333333333333333,95.0,1.0,all containers
202,1699527515,28960.666666666668,1.3333333333333333,93.0,1.0,all containers
203,1699527518,28884.0,1.0,93.0,1.0,all containers
204,1699527521,20738.0,39.666666666666664,95.0,1.0,all containers
205,1699527524,1450.0,4.333333333333333,3.0,1.0,all containers
206,1699527527,1414.0,1.6666666666666667,3.0,1.0,all containers
207,1699527530,1412.3333333333333,1.6666666666666667,2.0,1.0,all containers
208,1699527533,1426.6666666666667,5.666666666666667,1.0,1.0,all containers
