,timestamp,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,platform_power,node_type,id
84,1699527161,0.0,0.0,0.0,0.0,49.0,1.0,all containers
85,1699527164,189011.6666666667,0.0,0.0,189011.6666666667,22.0,1.0,all containers
86,1699527167,13101.333333333332,0.0,0.0,13101.333333333332,0.0,1.0,all containers
87,1699527170,0.0,0.0,0.0,0.0,3.0,1.0,all containers
88,1699527173,0.0,0.0,0.0,0.0,3.0,1.0,all containers
89,1699527176,350494.6666666666,603477.3333333333,125414.66666666666,225080.0,6.0,1.0,all containers
90,1699527179,0.0,0.0,0.0,0.0,55.0,1.0,all containers
91,1699527182,0.0,0.0,0.0,0.0,59.0,1.0,all containers
92,1699527185,0.0,0.0,0.0,0.0,56.0,1.0,all containers
93,1699527188,0.0,0.0,0.0,0.0,57.0,1.0,all containers
94,1699527191,0.0,0.0,0.0,0.0,58.0,1.0,all containers
95,1699527194,0.0,0.0,0.0,0.0,59.0,1.0,all containers
96,1699527197,0.0,0.0,0.0,0.0,57.0,1.0,all containers
97,1699527200,13762.333333333334,0.0,3052.6666666666665,10709.666666666666,58.0,1.0,all containers
98,1699527203,0.0,0.0,0.0,0.0,58.0,1.0,all containers
99,1699527206,0.0,0.0,0.0,0.0,58.0,1.0,all containers
100,1699527209,216426.0,122880.0,73110.0,143316.0,20.0,1.0,all containers
101,1699527212,13992.0,122880.0,3102.0,10884.0,3.0,1.0,all containers
102,1699527215,0.0,0.0,0.0,0.0,1.0,1.0,all containers
103,1699527218,0.0,0.0,0.0,0.0,1.0,1.0,all containers
104,1699527221,394674.0,663552.0,109932.0,284742.0,2.0,1.0,all containers
105,1699527224,0.0,0.0,0.0,0.0,29.0,1.0,all containers
106,1699527227,0.0,0.0,0.0,0.0,43.0,1.0,all containers
107,1699527230,0.0,0.0,0.0,0.0,44.0,1.0,all containers
108,1699527233,0.0,0.0,0.0,0.0,46.0,1.0,all containers
