,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,mape,platform_mae,platform_mape,feature_group,power_range,mae_threshold
16,3,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['bpf_cpu_time_us', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,6.224770642201835,2.317517202997196,6.224770642201835,2.317517202997196,Basic,201.0,40.2
17,6,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['bpf_cpu_time_us', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",['poly_scaler.pkl'],AbsPower,9.317741044070743,3.369823465355845,9.317741044070743,3.369823465355845,Basic,201.0,40.2
18,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['bpf_cpu_time_us', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,13.015650018236451,4.5986119504532255,13.015650018236451,4.5986119504532255,Basic,201.0,40.2
19,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['bpf_cpu_time_us', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,17.168947589816472,6.20968184669616,17.168947589816472,6.20968184669616,Basic,201.0,40.2
20,4,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['bpf_cpu_time_us', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,17.538673244519444,6.390940312721363,17.538673244519444,6.390940312721363,Basic,201.0,40.2
21,2,XgboostFitTrainer_1,xgboost,XgboostFitTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,5.261462080369302,2.039517810199241,5.261462080369302,2.039517810199241,CounterIRQCombined,201.0,40.2
22,3,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,6.5642201834862375,2.411354416239119,6.5642201834862375,2.411354416239119,CounterIRQCombined,201.0,40.2
23,5,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,7.363588413002459,2.7769422976238904,7.363588413002459,2.7769422976238904,CounterIRQCombined,201.0,40.2
24,6,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",['poly_scaler.pkl'],AbsPower,7.964897852698733,2.889689740481022,7.964897852698733,2.889689740481022,CounterIRQCombined,201.0,40.2
25,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,11.85606882546818,4.084960209578536,11.85606882546818,4.084960209578536,CounterIRQCombined,201.0,40.2
26,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,16.060788228221984,6.157260756592388,16.060788228221984,6.157260756592388,CounterIRQCombined,201.0,40.2
27,4,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,16.499692941274667,6.240880012004466,16.499692941274667,6.240880012004466,CounterIRQCombined,201.0,40.2
28,5,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,5.166555482752207,1.915613399524812,5.166555482752207,1.915613399524812,CounterOnly,201.0,40.2
29,3,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,5.853975535168195,2.267312237056717,5.853975535168195,2.267312237056717,CounterOnly,201.0,40.2
30,2,XgboostFitTrainer_1,xgboost,XgboostFitTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,5.899038892273509,2.2382760843837235,5.899038892273509,2.2382760843837235,CounterOnly,201.0,40.2
31,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,8.370629454263085,2.950093367728082,8.370629454263085,2.950093367728082,CounterOnly,201.0,40.2
32,6,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",['poly_scaler.pkl'],AbsPower,10.403395357971474,3.7210749253399578,10.403395357971474,3.7210749253399578,CounterOnly,201.0,40.2
33,4,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,17.187893071148252,6.395208389088123,17.187893071148252,6.395208389088123,CounterOnly,201.0,40.2
34,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,17.300296320263147,6.189587976724305,17.300296320263147,6.189587976724305,CounterOnly,201.0,40.2
35,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,37.683160762143146,12.84874852331112,37.683160762143146,12.84874852331112,KubeletOnly,201.0,40.2
36,5,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,39.18703614919649,14.882731943173578,39.18703614919649,14.882731943173578,KubeletOnly,201.0,40.2
