,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,mape,package_mae,core_mae,uncore_mae,dram_mae,package_mape,core_mape,uncore_mape,dram_mape,feature_group,power_range,mae_threshold
14,2,XgboostFitTrainer_1,xgboost,XgboostFitTrainer_1.json,"['bpf_cpu_time_us', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",[],DynPower,2.841602242969178,44213818714.28422,2.841602242969178,1.3356274394027425e-05,1.3356274394027425e-05,0.7190889865258113,25.541511589900274,0,0,44213818714.28422,Basic,149.64933333332493,29.929866666664985
15,5,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['bpf_cpu_time_us', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",[],DynPower,3.5191258482033048,65959980516322.94,3.5191258482033048,0.0,0.0,0.763784450290648,43.076921893849686,0,0,65959980516322.94,Basic,149.64933333332493,29.929866666664985
16,3,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['bpf_cpu_time_us', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",[],DynPower,4.882865953108394,78122637545483.89,4.882865953108394,0.0,0.0,0.974586646279488,42.98090147519646,0,0,78122637545483.89,Basic,149.64933333332493,29.929866666664985
17,6,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['bpf_cpu_time_us', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",['poly_scaler.pkl'],DynPower,6.1396251262448365,26538494639745.29,6.1396251262448365,0.0,0.0,1.4427463273842172,61.08789868345003,0,0,26538494639745.29,Basic,149.64933333332493,29.929866666664985
18,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['bpf_cpu_time_us', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",[],DynPower,7.788893587114919,68969688186387.3,7.788893587114919,0.0,0.0,1.2339026015767436,33.34869589686544,0,0,68969688186387.3,Basic,149.64933333332493,29.929866666664985
19,4,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['bpf_cpu_time_us', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",[],DynPower,11.776397133757085,112509214277.4246,11.776397133757085,0.0,0.0,2.3457007374623733,121.65048791546144,0,0,112509214277.4246,Basic,149.64933333332493,29.929866666664985
20,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['bpf_cpu_time_us', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",[],DynPower,12.444500305384109,319830723417666.3,12.444500305384109,0.0,0.0,2.0559874199559207,96.56445051306906,0,0,319830723417666.3,Basic,149.64933333332493,29.929866666664985
21,2,XgboostFitTrainer_1,xgboost,XgboostFitTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,4.038506139065621,49814771929125.27,4.038506139065621,1.3356274394027425e-05,1.3356274394027425e-05,0.9901499017558508,33.145852125366915,0,0,49814771929125.27,CounterIRQCombined,149.64933333332493,29.929866666664985
22,5,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,4.140924677205375,75342134837483.36,4.140924677205375,0.0,0.0,0.9751547468325216,29.9607484652298,0,0,75342134837483.36,CounterIRQCombined,149.64933333332493,29.929866666664985
23,3,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,4.607446738022548,181781451693909.6,4.607446738022548,0.0,0.0,1.011970438328374,39.01307327399774,0,0,181781451693909.6,CounterIRQCombined,149.64933333332493,29.929866666664985
