,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,package_mae,core_mae,uncore_mae,dram_mae,feature_group,power_range,mae_threshold
16,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['bpf_cpu_time_us', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",[],DynPower,93.49773957252636,93.49773957252636,0.0,0.0,5.408395615003824,Basic,810.7450000001118,162.14900000002234
17,3,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['bpf_cpu_time_us', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",[],DynPower,95.06627978256894,95.06627978256894,0.0,0.0,6.449374954967523,Basic,810.7450000001118,162.14900000002234
18,4,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,26.492570639299416,26.492570639299416,0.0,0.0,2.645527659831873,CounterIRQCombined,810.7450000001118,162.14900000002234
19,2,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,28.35655810397991,28.35655810397991,0.0,0.0,2.6970356778814706,CounterIRQCombined,810.7450000001118,162.14900000002234
20,5,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",['poly_scaler.pkl'],DynPower,62.57326001429453,62.57326001429453,0.0,0.0,4.776485891403893,CounterIRQCombined,810.7450000001118,162.14900000002234
21,3,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,92.90709511598644,92.90709511598644,0.0,0.0,6.947037884668166,CounterIRQCombined,810.7450000001118,162.14900000002234
22,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,96.39716404918272,96.39716404918272,0.0,0.0,5.388447985972771,CounterIRQCombined,810.7450000001118,162.14900000002234
23,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,98.69321817808417,98.69321817808417,0.0,0.0,7.673000249173148,CounterIRQCombined,810.7450000001118,162.14900000002234
24,2,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,16.234720693165954,16.234720693165954,0.0,0.0,2.502721712537325,CounterOnly,810.7450000001118,162.14900000002234
25,4,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,21.628353362462665,21.628353362462665,0.0,0.0,2.423504266770172,CounterOnly,810.7450000001118,162.14900000002234
26,5,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",['poly_scaler.pkl'],DynPower,67.19410216333861,67.19410216333861,0.0,0.0,3.8005291657443143,CounterOnly,810.7450000001118,162.14900000002234
27,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,77.63121481286883,77.63121481286883,0.0,0.0,4.293574518525779,CounterOnly,810.7450000001118,162.14900000002234
28,3,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,92.42651268923676,92.42651268923676,0.0,0.0,6.575346379925869,CounterOnly,810.7450000001118,162.14900000002234
29,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,94.97366351782178,94.97366351782178,0.0,0.0,7.729100225230254,CounterOnly,810.7450000001118,162.14900000002234
