,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,package_mae,core_mae,uncore_mae,dram_mae,feature_group,power_range,mae_threshold
16,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",[],AbsPower,66.42750456523571,66.42750456523571,0.0,0.0,12.520845371416245,BPFIRQ,791.9900000002235,158.3980000000447
17,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['bpf_cpu_time_us', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,73.44327542029176,73.44327542029176,0.0,0.0,6.827908642402747,Basic,791.9900000002235,158.3980000000447
18,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,77.72364567165074,77.72364567165074,0.0,0.0,4.677440049185152,CounterIRQCombined,791.9900000002235,158.3980000000447
19,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['bpf_cpu_time_us', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,79.42231472574304,79.42231472574304,0.0,0.0,5.8600046972270805,Basic,791.9900000002235,158.3980000000447
20,3,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,81.01958702099702,81.01958702099702,0.0,0.0,7.970426639148322,CounterOnly,791.9900000002235,158.3980000000447
21,3,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,83.95324143513623,83.95324143513623,0.0,0.0,8.860506428885394,CounterIRQCombined,791.9900000002235,158.3980000000447
22,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,87.6637741668864,87.6637741668864,0.0,0.0,8.989934118774537,CounterIRQCombined,791.9900000002235,158.3980000000447
23,3,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['bpf_cpu_time_us', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,88.82726844696282,88.82726844696282,0.0,0.0,6.948758144144019,Basic,791.9900000002235,158.3980000000447
24,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,89.53878772130828,89.53878772130828,0.0,0.0,7.794462224742217,CounterOnly,791.9900000002235,158.3980000000447
25,5,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['bpf_cpu_time_us', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",['poly_scaler.pkl'],AbsPower,90.50400639436452,90.50400639436452,0.0,0.0,5.198564709960469,Basic,791.9900000002235,158.3980000000447
26,3,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",[],AbsPower,103.21414920135648,103.21414920135648,0.0,0.0,18.56426353714333,BPFIRQ,791.9900000002235,158.3980000000447
27,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,['bpf_cpu_time_us'],[],AbsPower,105.32405897833031,105.32405897833031,0.0,0.0,19.696339667240743,BPFOnly,791.9900000002235,158.3980000000447
28,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",[],AbsPower,106.71090425806726,106.71090425806726,0.0,0.0,21.36221012825875,BPFIRQ,791.9900000002235,158.3980000000447
29,3,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,['bpf_cpu_time_us'],[],AbsPower,111.59671028976548,111.59671028976548,0.0,0.0,21.32199855547413,BPFOnly,791.9900000002235,158.3980000000447
